Job Category,Candidate,Actual Category,Fit Score
ACCOUNTANT,24905947.pdf,FITNESS,0.168
HR,20148147.pdf,ARTS,0.168
ACCOUNTANT,30757456.pdf,FITNESS,0.168
FINANCE,23085604.pdf,DIGITAL-MEDIA,0.168
CHEF,56025640.pdf,APPAREL,0.168
ADVOCATE,24240349.pdf,TEACHER,0.168
DESIGNER,12717345.pdf,CHEF,0.168
DESIGNER,58915642.pdf,DIGITAL-MEDIA,0.168
INFORMATION-TECHNOLOGY,29894080.pdf,CONSTRUCTION,0.168
APPAREL,13405229.pdf,AVIATION,0.168
AVIATION,19975121.pdf,FITNESS,0.168
APPAREL,82738323.pdf,AVIATION,0.168
AVIATION,28758002.pdf,FINANCE,0.168
INFORMATION-TECHNOLOGY,20624984.pdf,ACCOUNTANT,0.168
BANKING,33072201.pdf,PUBLIC-RELATIONS,0.168
TEACHER,11333660.pdf,CONSULTANT,0.168
BANKING,43622023.pdf,ARTS,0.168
DESIGNER,91533580.pdf,APPAREL,0.168
DESIGNER,71499299.pdf,APPAREL,0.168
AVIATION,29723311.pdf,CONSULTANT,0.168
BPO,13095891.pdf,CHEF,0.168
APPAREL,24559558.pdf,PUBLIC-RELATIONS,0.168
HR,21847415.pdf,ENGINEERING,0.168
DESIGNER,26013403.pdf,FINANCE,0.168
ENGINEERING,21782152.pdf,CONSTRUCTION,0.168
INFORMATION-TECHNOLOGY,11480899.pdf,HR,0.168
SALES,13909762.pdf,ADVOCATE,0.168
APPAREL,91318828.pdf,DIGITAL-MEDIA,0.168
INFORMATION-TECHNOLOGY,35603950.pdf,APPAREL,0.168
INFORMATION-TECHNOLOGY,52252936.pdf,APPAREL,0.168
ENGINEERING,13212436.pdf,CHEF,0.168
APPAREL,13858219.pdf,APPAREL,0.168
FITNESS,19867922.pdf,HR,0.168
DESIGNER,28975482.pdf,PUBLIC-RELATIONS,0.168
BPO,20321582.pdf,CHEF,0.168
CONSTRUCTION,15717923.pdf,FINANCE,0.168
DESIGNER,31454430.pdf,SALES,0.168
CHEF,77626587.pdf,AVIATION,0.168
HEALTHCARE,17431847.pdf,FITNESS,0.168
FINANCE,14871762.pdf,BUSINESS-DEVELOPMENT,0.168
FINANCE,20633855.pdf,BUSINESS-DEVELOPMENT,0.168
HR,36102323.pdf,AGRICULTURE,0.168
ADVOCATE,3547447.pdf,BANKING,0.168
ACCOUNTANT,50219114.pdf,DIGITAL-MEDIA,0.168
INFORMATION-TECHNOLOGY,24708621.pdf,FITNESS,0.168
INFORMATION-TECHNOLOGY,20255404.pdf,FITNESS,0.168
ACCOUNTANT,67582956.pdf,DESIGNER,0.168
ACCOUNTANT,26676567.pdf,DESIGNER,0.168
ACCOUNTANT,25959103.pdf,INFORMATION-TECHNOLOGY,0.168
CONSULTANT,12022566.pdf,ENGINEERING,0.168
INFORMATION-TECHNOLOGY,30938994.pdf,BUSINESS-DEVELOPMENT,0.168
BPO,32531824.pdf,BUSINESS-DEVELOPMENT,0.168
FITNESS,42546558.pdf,AVIATION,0.168
CHEF,32954522.pdf,DESIGNER,0.168
FITNESS,27694040.pdf,APPAREL,0.168
FITNESS,21287405.pdf,AVIATION,0.168
ACCOUNTANT,34317538.pdf,DESIGNER,0.168
ARTS,21363048.pdf,CONSTRUCTION,0.168
INFORMATION-TECHNOLOGY,14910300.pdf,PUBLIC-RELATIONS,0.168
ENGINEERING,24647386.pdf,BUSINESS-DEVELOPMENT,0.168
ENGINEERING,10228751.pdf,BUSINESS-DEVELOPMENT,0.168
DIGITAL-MEDIA,28035460.pdf,INFORMATION-TECHNOLOGY,0.168
BPO,14900898.pdf,CONSTRUCTION,0.168
PUBLIC-RELATIONS,87968870.pdf,HR,0.168
HR,61319162.pdf,PUBLIC-RELATIONS,0.168
BPO,92246939.pdf,CONSULTANT,0.168
FINANCE,10541358.pdf,BUSINESS-DEVELOPMENT,0.168
BANKING,14224370.pdf,ACCOUNTANT,0.168
FINANCE,26896699.pdf,BUSINESS-DEVELOPMENT,0.168
ADVOCATE,17983430.pdf,AVIATION,0.168
PUBLIC-RELATIONS,17165107.pdf,ADVOCATE,0.168
ADVOCATE,28165687.pdf,AGRICULTURE,0.168
HEALTHCARE,18484846.pdf,HEALTHCARE,0.168
FINANCE,10840430.pdf,INFORMATION-TECHNOLOGY,0.168
BANKING,33893326.pdf,DIGITAL-MEDIA,0.168
BPO,31243710.pdf,INFORMATION-TECHNOLOGY,0.168
APPAREL,29792535.pdf,FITNESS,0.168
APPAREL,19774173.pdf,FITNESS,0.168
BANKING,23085604.pdf,DIGITAL-MEDIA,0.168
AUTOMOBILE,19147494.pdf,SALES,0.168
AUTOMOBILE,11155153.pdf,DESIGNER,0.168
BPO,18932512.pdf,AUTOMOBILE,0.168
CONSTRUCTION,99714410.pdf,CONSULTANT,0.168
BANKING,76916835.pdf,BUSINESS-DEVELOPMENT,0.168
CHEF,45475027.pdf,CONSTRUCTION,0.168
SALES,34327438.pdf,ADVOCATE,0.168
HR,18442517.pdf,DIGITAL-MEDIA,0.168
APPAREL,11835339.pdf,CONSULTANT,0.168
BUSINESS-DEVELOPMENT,25128608.pdf,CHEF,0.168
HR,30713796.pdf,BANKING,0.168
HR,10501991.pdf,BUSINESS-DEVELOPMENT,0.168
CONSULTANT,32140087.pdf,SALES,0.168
BUSINESS-DEVELOPMENT,32518109.pdf,CHEF,0.168
ACCOUNTANT,25729119.pdf,TEACHER,0.168
SALES,25507648.pdf,FITNESS,0.168
HR,16915389.pdf,APPAREL,0.168
BPO,26961846.pdf,FINANCE,0.168
BPO,12547982.pdf,DESIGNER,0.168
PUBLIC-RELATIONS,14445309.pdf,ADVOCATE,0.168
SALES,18784594.pdf,HEALTHCARE,0.168
TEACHER,16407619.pdf,BANKING,0.168
BPO,30741799.pdf,ADVOCATE,0.168
DESIGNER,18278509.pdf,BANKING,0.168
HEALTHCARE,11773925.pdf,BANKING,0.168
BPO,20748929.pdf,BUSINESS-DEVELOPMENT,0.168
DESIGNER,10704573.pdf,BUSINESS-DEVELOPMENT,0.168
HR,17562754.pdf,DIGITAL-MEDIA,0.168
SALES,20176584.pdf,CONSULTANT,0.168
BPO,17562754.pdf,DIGITAL-MEDIA,0.168
ENGINEERING,24983760.pdf,ARTS,0.168
FINANCE,20674668.pdf,INFORMATION-TECHNOLOGY,0.168
BANKING,42156237.pdf,DIGITAL-MEDIA,0.168
BANKING,56792999.pdf,CONSULTANT,0.168
SALES,14036515.pdf,DIGITAL-MEDIA,0.168
DESIGNER,14790629.pdf,AVIATION,0.168
DESIGNER,93653247.pdf,FINANCE,0.168
BANKING,58915642.pdf,DIGITAL-MEDIA,0.168
BUSINESS-DEVELOPMENT,37913536.pdf,PUBLIC-RELATIONS,0.168
BUSINESS-DEVELOPMENT,27187994.pdf,CONSTRUCTION,0.168
ACCOUNTANT,28630325.pdf,ENGINEERING,0.168
SALES,22168194.pdf,AVIATION,0.168
DESIGNER,12920612.pdf,PUBLIC-RELATIONS,0.168
ACCOUNTANT,47133747.pdf,ADVOCATE,0.168
CONSTRUCTION,36107065.pdf,PUBLIC-RELATIONS,0.168
SALES,31602598.pdf,ACCOUNTANT,0.168
DESIGNER,37335325.pdf,ENGINEERING,0.168
CONSTRUCTION,49285644.pdf,TEACHER,0.168
CONSULTANT,12155206.pdf,CHEF,0.168
DIGITAL-MEDIA,78107631.pdf,ARTS,0.168
BPO,22622351.pdf,FINANCE,0.168
PUBLIC-RELATIONS,47470864.pdf,HR,0.168
BUSINESS-DEVELOPMENT,59487170.pdf,FITNESS,0.168
DESIGNER,15354126.pdf,CHEF,0.168
TEACHER,25905275.pdf,INFORMATION-TECHNOLOGY,0.168
BANKING,21595057.pdf,SALES,0.168
BPO,23918545.pdf,HEALTHCARE,0.168
DESIGNER,63137898.pdf,ACCOUNTANT,0.168
AVIATION,35651876.pdf,ENGINEERING,0.168
FITNESS,12239749.pdf,AVIATION,0.168
PUBLIC-RELATIONS,27004930.pdf,BUSINESS-DEVELOPMENT,0.168
BANKING,27607632.pdf,SALES,0.168
INFORMATION-TECHNOLOGY,39675895.pdf,FINANCE,0.168
BPO,30968749.pdf,DESIGNER,0.168
CONSULTANT,27694040.pdf,APPAREL,0.168
CONSTRUCTION,95382114.pdf,BUSINESS-DEVELOPMENT,0.168
CHEF,34511655.pdf,DESIGNER,0.168
ACCOUNTANT,14241621.pdf,BUSINESS-DEVELOPMENT,0.168
BPO,34151183.pdf,FITNESS,0.168
DESIGNER,21265194.pdf,HR,0.168
BPO,18927233.pdf,DIGITAL-MEDIA,0.168
CONSULTANT,15265464.pdf,ARTS,0.168
ADVOCATE,80679862.pdf,DIGITAL-MEDIA,0.168
ENGINEERING,36252245.pdf,AVIATION,0.168
CONSTRUCTION,15651486.pdf,INFORMATION-TECHNOLOGY,0.168
CONSTRUCTION,37664296.pdf,DESIGNER,0.168
SALES,18176523.pdf,INFORMATION-TECHNOLOGY,0.168
SALES,40311088.pdf,DIGITAL-MEDIA,0.168
INFORMATION-TECHNOLOGY,23396633.pdf,BUSINESS-DEVELOPMENT,0.168
INFORMATION-TECHNOLOGY,25413261.pdf,PUBLIC-RELATIONS,0.168
TEACHER,28669770.pdf,FITNESS,0.168
TEACHER,19037403.pdf,FITNESS,0.168
ACCOUNTANT,11981094.pdf,ENGINEERING,0.168
ADVOCATE,19156751.pdf,SALES,0.168
BANKING,14861855.pdf,BUSINESS-DEVELOPMENT,0.168
CONSTRUCTION,14304010.pdf,APPAREL,0.168
BPO,26671167.pdf,HR,0.168
APPAREL,32794700.pdf,ARTS,0.167
APPAREL,28998957.pdf,APPAREL,0.167
BPO,38565119.pdf,DESIGNER,0.167
CONSTRUCTION,12923795.pdf,FITNESS,0.167
PUBLIC-RELATIONS,17325147.pdf,ARTS,0.167
INFORMATION-TECHNOLOGY,38216888.pdf,AGRICULTURE,0.167
BPO,29319314.pdf,FITNESS,0.167
HR,15337481.pdf,ADVOCATE,0.167
AVIATION,17274759.pdf,AVIATION,0.167
CHEF,12587973.pdf,TEACHER,0.167
APPAREL,23602130.pdf,PUBLIC-RELATIONS,0.167
INFORMATION-TECHNOLOGY,12632728.pdf,BUSINESS-DEVELOPMENT,0.167
INFORMATION-TECHNOLOGY,45900271.pdf,PUBLIC-RELATIONS,0.167
APPAREL,20806155.pdf,HR,0.167
FINANCE,20024870.pdf,INFORMATION-TECHNOLOGY,0.167
CHEF,29595906.pdf,AVIATION,0.167
PUBLIC-RELATIONS,24590489.pdf,PUBLIC-RELATIONS,0.167
INFORMATION-TECHNOLOGY,31552617.pdf,TEACHER,0.167
BPO,25561640.pdf,ARTS,0.167
ACCOUNTANT,16887936.pdf,ARTS,0.167
PUBLIC-RELATIONS,36107065.pdf,PUBLIC-RELATIONS,0.167
INFORMATION-TECHNOLOGY,18795567.pdf,DESIGNER,0.167
ENGINEERING,87826037.pdf,AVIATION,0.167
INFORMATION-TECHNOLOGY,43622023.pdf,ARTS,0.167
APPAREL,16378091.pdf,CONSTRUCTION,0.167
SALES,23864648.pdf,INFORMATION-TECHNOLOGY,0.167
BPO,17432318.pdf,DIGITAL-MEDIA,0.167
ADVOCATE,15375009.pdf,HR,0.167
FINANCE,28897981.pdf,INFORMATION-TECHNOLOGY,0.167
CONSTRUCTION,89413122.pdf,INFORMATION-TECHNOLOGY,0.167
INFORMATION-TECHNOLOGY,15471999.pdf,DESIGNER,0.167
BUSINESS-DEVELOPMENT,25974844.pdf,HEALTHCARE,0.167
DESIGNER,32720816.pdf,AVIATION,0.167
BANKING,17688766.pdf,INFORMATION-TECHNOLOGY,0.167
BUSINESS-DEVELOPMENT,11650031.pdf,CONSTRUCTION,0.167
BUSINESS-DEVELOPMENT,29775391.pdf,CHEF,0.167
BPO,13343786.pdf,DIGITAL-MEDIA,0.167
DESIGNER,32385553.pdf,BUSINESS-DEVELOPMENT,0.167
BPO,40088790.pdf,ADVOCATE,0.167
ADVOCATE,17025292.pdf,CONSULTANT,0.167
BPO,12144825.pdf,AVIATION,0.167
CONSTRUCTION,16723524.pdf,APPAREL,0.167
CONSTRUCTION,27040860.pdf,ENGINEERING,0.167
SALES,32219038.pdf,HEALTHCARE,0.167
FITNESS,93828034.pdf,PUBLIC-RELATIONS,0.167
BPO,14181049.pdf,FINANCE,0.167
CONSTRUCTION,28672970.pdf,INFORMATION-TECHNOLOGY,0.167
CONSTRUCTION,36434348.pdf,INFORMATION-TECHNOLOGY,0.167
HR,17307206.pdf,CONSULTANT,0.167
CHEF,31199035.pdf,SALES,0.167
CHEF,34304175.pdf,ARTS,0.167
BPO,24230851.pdf,INFORMATION-TECHNOLOGY,0.167
HR,23438112.pdf,ACCOUNTANT,0.167
APPAREL,19557384.pdf,BUSINESS-DEVELOPMENT,0.167
BPO,10840430.pdf,INFORMATION-TECHNOLOGY,0.167
HR,13575312.pdf,HEALTHCARE,0.167
BPO,70528646.pdf,SALES,0.167
DESIGNER,39569771.pdf,BANKING,0.167
BANKING,12820557.pdf,SALES,0.167
HR,13178604.pdf,SALES,0.167
FINANCE,30709029.pdf,BPO,0.167
FINANCE,34141299.pdf,AGRICULTURE,0.167
CHEF,19070271.pdf,APPAREL,0.167
ACCOUNTANT,23810469.pdf,DIGITAL-MEDIA,0.167
BPO,25547145.pdf,ACCOUNTANT,0.167
TEACHER,27187994.pdf,CONSTRUCTION,0.167
FITNESS,34250007.pdf,FINANCE,0.167
PUBLIC-RELATIONS,13858219.pdf,APPAREL,0.167
PUBLIC-RELATIONS,31242382.pdf,ADVOCATE,0.167
HR,21338490.pdf,ACCOUNTANT,0.167
ARTS,24658786.pdf,DIGITAL-MEDIA,0.167
PUBLIC-RELATIONS,18129173.pdf,HEALTHCARE,0.167
TEACHER,34792238.pdf,FITNESS,0.167
HR,17108676.pdf,ENGINEERING,0.167
AVIATION,20905088.pdf,APPAREL,0.167
PUBLIC-RELATIONS,16861758.pdf,HR,0.167
BUSINESS-DEVELOPMENT,28111403.pdf,ADVOCATE,0.167
DESIGNER,22025574.pdf,BUSINESS-DEVELOPMENT,0.167
AVIATION,31217840.pdf,CONSULTANT,0.167
ADVOCATE,28828844.pdf,HR,0.167
PUBLIC-RELATIONS,29772450.pdf,CHEF,0.167
CHEF,42304307.pdf,SALES,0.167
INFORMATION-TECHNOLOGY,26819872.pdf,AVIATION,0.167
DESIGNER,35603950.pdf,APPAREL,0.167
DESIGNER,32067700.pdf,TEACHER,0.167
HR,27831220.pdf,CHEF,0.167
HEALTHCARE,27164756.pdf,ARTS,0.167
ADVOCATE,48547319.pdf,TEACHER,0.167
FITNESS,78107631.pdf,ARTS,0.167
TEACHER,71576860.pdf,CONSTRUCTION,0.167
FITNESS,16833515.pdf,AVIATION,0.167
FITNESS,67631413.pdf,AVIATION,0.167
PUBLIC-RELATIONS,95769832.pdf,FITNESS,0.167
SALES,14449423.pdf,ACCOUNTANT,0.167
DESIGNER,11650031.pdf,CONSTRUCTION,0.167
BANKING,28916894.pdf,BUSINESS-DEVELOPMENT,0.167
DESIGNER,91197243.pdf,PUBLIC-RELATIONS,0.167
AVIATION,39855211.pdf,ENGINEERING,0.167
HEALTHCARE,26961846.pdf,FINANCE,0.167
SALES,19446337.pdf,ACCOUNTANT,0.167
CHEF,31273310.pdf,BUSINESS-DEVELOPMENT,0.167
DIGITAL-MEDIA,10176815.pdf,AVIATION,0.167
BUSINESS-DEVELOPMENT,15053703.pdf,AGRICULTURE,0.167
AVIATION,29211359.pdf,CHEF,0.167
CHEF,13637605.pdf,SALES,0.167
AVIATION,93301686.pdf,DESIGNER,0.167
BUSINESS-DEVELOPMENT,15354126.pdf,CHEF,0.167
HR,24983760.pdf,ARTS,0.167
BPO,35164503.pdf,FITNESS,0.167
HR,30288581.pdf,ENGINEERING,0.167
ACCOUNTANT,10005171.pdf,DIGITAL-MEDIA,0.167
FITNESS,36621169.pdf,SALES,0.167
BANKING,34419403.pdf,AVIATION,0.167
FITNESS,27624540.pdf,SALES,0.167
HR,18997135.pdf,ADVOCATE,0.167
FITNESS,27490876.pdf,HR,0.167
ACCOUNTANT,14585273.pdf,CONSTRUCTION,0.167
TEACHER,19717385.pdf,HR,0.167
TEACHER,28916894.pdf,BUSINESS-DEVELOPMENT,0.167
DESIGNER,29775391.pdf,CHEF,0.167
AVIATION,13907230.pdf,CONSTRUCTION,0.167
ADVOCATE,15423153.pdf,BUSINESS-DEVELOPMENT,0.167
DESIGNER,12674256.pdf,AGRICULTURE,0.167
ENGINEERING,51681660.pdf,DESIGNER,0.167
ACCOUNTANT,15973307.pdf,SALES,0.167
PUBLIC-RELATIONS,92069209.pdf,INFORMATION-TECHNOLOGY,0.167
BPO,29091445.pdf,HR,0.167
HR,25128608.pdf,CHEF,0.167
TEACHER,29167286.pdf,AVIATION,0.167
DESIGNER,13569152.pdf,CONSULTANT,0.167
DESIGNER,15083600.pdf,CONSULTANT,0.167
ADVOCATE,39142536.pdf,BANKING,0.167
HR,91268638.pdf,CHEF,0.167
BUSINESS-DEVELOPMENT,95769832.pdf,FITNESS,0.167
BUSINESS-DEVELOPMENT,93112113.pdf,HR,0.167
BPO,89049979.pdf,BANKING,0.167
BPO,24550866.pdf,HEALTHCARE,0.167
ARTS,19195747.pdf,DESIGNER,0.167
APPAREL,23190306.pdf,APPAREL,0.167
INFORMATION-TECHNOLOGY,87635012.pdf,ACCOUNTANT,0.167
ACCOUNTANT,24184357.pdf,HR,0.167
CONSTRUCTION,37660306.pdf,TEACHER,0.167
INFORMATION-TECHNOLOGY,47996197.pdf,HEALTHCARE,0.167
PUBLIC-RELATIONS,29091445.pdf,HR,0.167
ADVOCATE,69360287.pdf,AGRICULTURE,0.167
ACCOUNTANT,62994611.pdf,AGRICULTURE,0.167
INFORMATION-TECHNOLOGY,20253563.pdf,ACCOUNTANT,0.167
FITNESS,23955183.pdf,FINANCE,0.167
AVIATION,26768723.pdf,INFORMATION-TECHNOLOGY,0.167
FITNESS,12191094.pdf,PUBLIC-RELATIONS,0.167
BUSINESS-DEVELOPMENT,16605352.pdf,FITNESS,0.167
APPAREL,26127853.pdf,PUBLIC-RELATIONS,0.167
ADVOCATE,20399718.pdf,TEACHER,0.167
FINANCE,24559558.pdf,PUBLIC-RELATIONS,0.167
INFORMATION-TECHNOLOGY,48285304.pdf,FINANCE,0.167
HR,32140087.pdf,SALES,0.167
BPO,10588874.pdf,CHEF,0.166
DESIGNER,14900898.pdf,CONSTRUCTION,0.166
AVIATION,12144825.pdf,AVIATION,0.166
AVIATION,26480367.pdf,INFORMATION-TECHNOLOGY,0.166
DIGITAL-MEDIA,26291616.pdf,CONSULTANT,0.166
BUSINESS-DEVELOPMENT,29564653.pdf,HR,0.166
BUSINESS-DEVELOPMENT,53265899.pdf,CHEF,0.166
INFORMATION-TECHNOLOGY,18268860.pdf,AVIATION,0.166
PUBLIC-RELATIONS,27558837.pdf,ACCOUNTANT,0.166
PUBLIC-RELATIONS,13764840.pdf,APPAREL,0.166
PUBLIC-RELATIONS,25678238.pdf,FINANCE,0.166
SALES,49127329.pdf,ENGINEERING,0.166
BUSINESS-DEVELOPMENT,31547476.pdf,CHEF,0.166
CHEF,82125182.pdf,ENGINEERING,0.166
ADVOCATE,37640804.pdf,ADVOCATE,0.166
CHEF,29574501.pdf,CONSTRUCTION,0.166
DESIGNER,28139742.pdf,SALES,0.166
HR,14708590.pdf,ADVOCATE,0.166
CONSTRUCTION,92283635.pdf,AVIATION,0.166
INFORMATION-TECHNOLOGY,56286525.pdf,FITNESS,0.166
ACCOUNTANT,30646367.pdf,HR,0.166
ACCOUNTANT,10399912.pdf,HR,0.166
ENGINEERING,12230301.pdf,BUSINESS-DEVELOPMENT,0.166
ADVOCATE,39569771.pdf,BANKING,0.166
HEALTHCARE,19851252.pdf,AGRICULTURE,0.166
ADVOCATE,11378657.pdf,HEALTHCARE,0.166
SALES,59346975.pdf,PUBLIC-RELATIONS,0.166
BUSINESS-DEVELOPMENT,37220856.pdf,ARTS,0.166
DESIGNER,29534737.pdf,AVIATION,0.166
INFORMATION-TECHNOLOGY,23510685.pdf,HR,0.166
PUBLIC-RELATIONS,24083609.pdf,INFORMATION-TECHNOLOGY,0.166
CONSTRUCTION,82246962.pdf,ENGINEERING,0.166
FITNESS,14150896.pdf,ARTS,0.166
CONSULTANT,17311685.pdf,TEACHER,0.166
BANKING,15699744.pdf,CONSULTANT,0.166
PUBLIC-RELATIONS,22855060.pdf,FITNESS,0.166
CONSTRUCTION,14849103.pdf,CONSTRUCTION,0.166
INFORMATION-TECHNOLOGY,17152392.pdf,AVIATION,0.166
HR,24647794.pdf,ENGINEERING,0.166
APPAREL,15484011.pdf,AUTOMOBILE,0.166
HR,37333719.pdf,ADVOCATE,0.166
ACCOUNTANT,72652441.pdf,ADVOCATE,0.166
DESIGNER,22894544.pdf,CONSTRUCTION,0.166
ENGINEERING,55104715.pdf,SALES,0.166
SALES,12491898.pdf,CONSTRUCTION,0.166
TEACHER,19201175.pdf,INFORMATION-TECHNOLOGY,0.166
ADVOCATE,11637468.pdf,BANKING,0.166
BPO,31813535.pdf,BUSINESS-DEVELOPMENT,0.166
ACCOUNTANT,53169257.pdf,ADVOCATE,0.166
INFORMATION-TECHNOLOGY,15053703.pdf,AGRICULTURE,0.166
HR,40882926.pdf,AGRICULTURE,0.166
ARTS,44185767.pdf,DESIGNER,0.166
TEACHER,27921561.pdf,DIGITAL-MEDIA,0.166
BPO,19201175.pdf,INFORMATION-TECHNOLOGY,0.166
ADVOCATE,19671909.pdf,ARTS,0.166
ADVOCATE,25561640.pdf,ARTS,0.166
ADVOCATE,41950126.pdf,ARTS,0.166
CHEF,79261033.pdf,BPO,0.166
BPO,23617240.pdf,HEALTHCARE,0.166
CONSTRUCTION,17571262.pdf,AUTOMOBILE,0.166
HR,19053815.pdf,DIGITAL-MEDIA,0.166
HR,26586477.pdf,APPAREL,0.166
ADVOCATE,28772892.pdf,TEACHER,0.166
INFORMATION-TECHNOLOGY,16852973.pdf,HR,0.166
PUBLIC-RELATIONS,10138632.pdf,SALES,0.166
FINANCE,29640922.pdf,APPAREL,0.166
DESIGNER,28758002.pdf,FINANCE,0.166
TEACHER,57364820.pdf,CONSULTANT,0.166
ACCOUNTANT,22561438.pdf,CHEF,0.166
FITNESS,13675377.pdf,FITNESS,0.166
ENGINEERING,27419236.pdf,DIGITAL-MEDIA,0.166
BPO,50328713.pdf,ENGINEERING,0.166
APPAREL,58915642.pdf,DIGITAL-MEDIA,0.166
APPAREL,34319869.pdf,DIGITAL-MEDIA,0.166
DESIGNER,15479281.pdf,APPAREL,0.166
FITNESS,13557622.pdf,DESIGNER,0.166
BUSINESS-DEVELOPMENT,78114950.pdf,CONSTRUCTION,0.166
ACCOUNTANT,27091280.pdf,APPAREL,0.166
ACCOUNTANT,16594812.pdf,CHEF,0.166
INFORMATION-TECHNOLOGY,23513618.pdf,ACCOUNTANT,0.166
ACCOUNTANT,31243710.pdf,INFORMATION-TECHNOLOGY,0.166
DESIGNER,11842348.pdf,BANKING,0.166
DESIGNER,13477922.pdf,INFORMATION-TECHNOLOGY,0.166
DESIGNER,28206098.pdf,ADVOCATE,0.166
INFORMATION-TECHNOLOGY,11432686.pdf,CHEF,0.166
BUSINESS-DEVELOPMENT,15958967.pdf,ADVOCATE,0.166
PUBLIC-RELATIONS,23427369.pdf,ADVOCATE,0.166
ARTS,18905648.pdf,DIGITAL-MEDIA,0.166
ADVOCATE,34792238.pdf,FITNESS,0.166
HR,38056161.pdf,PUBLIC-RELATIONS,0.166
ACCOUNTANT,17555081.pdf,DESIGNER,0.166
INFORMATION-TECHNOLOGY,35971546.pdf,CONSTRUCTION,0.166
PUBLIC-RELATIONS,23914451.pdf,HR,0.166
ENGINEERING,28942221.pdf,CONSTRUCTION,0.166
CHEF,14150896.pdf,ARTS,0.166
ACCOUNTANT,64468610.pdf,ENGINEERING,0.166
CONSULTANT,46055835.pdf,ARTS,0.166
PUBLIC-RELATIONS,37348041.pdf,ADVOCATE,0.166
APPAREL,96761538.pdf,FITNESS,0.166
AUTOMOBILE,17584743.pdf,DIGITAL-MEDIA,0.166
BANKING,57667857.pdf,HR,0.166
INFORMATION-TECHNOLOGY,25258040.pdf,CONSULTANT,0.166
PUBLIC-RELATIONS,15353911.pdf,DIGITAL-MEDIA,0.166
BUSINESS-DEVELOPMENT,17545780.pdf,HEALTHCARE,0.166
HEALTHCARE,33370664.pdf,BANKING,0.166
CHEF,98108571.pdf,SALES,0.166
HR,39247950.pdf,BANKING,0.166
HR,13393401.pdf,BANKING,0.166
INFORMATION-TECHNOLOGY,23804341.pdf,ADVOCATE,0.166
PUBLIC-RELATIONS,15233524.pdf,BUSINESS-DEVELOPMENT,0.166
BPO,35492909.pdf,BANKING,0.166
FITNESS,17640785.pdf,AGRICULTURE,0.166
HR,50324968.pdf,APPAREL,0.166
SALES,27409087.pdf,FINANCE,0.166
ARTS,14267489.pdf,SALES,0.166
AVIATION,51639418.pdf,INFORMATION-TECHNOLOGY,0.166
CHEF,20149476.pdf,ARTS,0.166
ARTS,28290448.pdf,PUBLIC-RELATIONS,0.166
SALES,28321954.pdf,FITNESS,0.166
CONSULTANT,76196367.pdf,TEACHER,0.166
CHEF,39252859.pdf,DESIGNER,0.166
ACCOUNTANT,26746496.pdf,INFORMATION-TECHNOLOGY,0.166
HEALTHCARE,20736486.pdf,HEALTHCARE,0.166
BANKING,35157762.pdf,CHEF,0.166
ENGINEERING,11672279.pdf,BANKING,0.166
BPO,64017585.pdf,INFORMATION-TECHNOLOGY,0.166
APPAREL,15932017.pdf,FITNESS,0.166
CONSULTANT,33344933.pdf,ARTS,0.166
HR,25719936.pdf,AVIATION,0.166
PUBLIC-RELATIONS,16820422.pdf,TEACHER,0.166
PUBLIC-RELATIONS,15118506.pdf,INFORMATION-TECHNOLOGY,0.166
BANKING,27080812.pdf,DIGITAL-MEDIA,0.166
BPO,30223363.pdf,INFORMATION-TECHNOLOGY,0.166
INFORMATION-TECHNOLOGY,11773767.pdf,ADVOCATE,0.166
BANKING,23933031.pdf,BPO,0.166
CONSTRUCTION,20633855.pdf,BUSINESS-DEVELOPMENT,0.166
CHEF,38220146.pdf,ENGINEERING,0.166
PUBLIC-RELATIONS,12230301.pdf,BUSINESS-DEVELOPMENT,0.166
HEALTHCARE,24989856.pdf,APPAREL,0.166
CONSTRUCTION,50328713.pdf,ENGINEERING,0.166
HR,24799301.pdf,ACCOUNTANT,0.166
HR,30304575.pdf,ACCOUNTANT,0.166
BANKING,21570485.pdf,APPAREL,0.166
BANKING,28897981.pdf,INFORMATION-TECHNOLOGY,0.166
BANKING,91026230.pdf,APPAREL,0.166
INFORMATION-TECHNOLOGY,15083600.pdf,CONSULTANT,0.166
DIGITAL-MEDIA,17432318.pdf,DIGITAL-MEDIA,0.166
ADVOCATE,22323967.pdf,HR,0.166
DESIGNER,12777487.pdf,ARTS,0.166
FINANCE,27372171.pdf,INFORMATION-TECHNOLOGY,0.166
INFORMATION-TECHNOLOGY,14611516.pdf,PUBLIC-RELATIONS,0.166
INFORMATION-TECHNOLOGY,18436190.pdf,PUBLIC-RELATIONS,0.166
INFORMATION-TECHNOLOGY,14536764.pdf,PUBLIC-RELATIONS,0.166
HR,11197262.pdf,AGRICULTURE,0.166
BPO,31114531.pdf,ARTS,0.166
HR,20390397.pdf,DESIGNER,0.166
FINANCE,19911786.pdf,BANKING,0.166
ADVOCATE,75286906.pdf,ACCOUNTANT,0.166
FINANCE,28109594.pdf,DIGITAL-MEDIA,0.166
TEACHER,23438227.pdf,ENGINEERING,0.166
DESIGNER,61322296.pdf,CHEF,0.166
AVIATION,11672279.pdf,BANKING,0.166
BPO,14146106.pdf,ADVOCATE,0.166
CONSTRUCTION,30990885.pdf,FITNESS,0.166
